id,x,y,orientation
qWQdq-iWX0c,202,360,vertical
PJyDh-VIE_Y,360,640,vertical
nSBCY-ru08s,360,640,vertical
NvZzW-sRJXg,360,640,vertical
Fwdsr-G_mxw,202,360,vertical
uqEaG-r6JEM,360,640,vertical
WQlMj-Ry5ko,202,360,vertical
vYLEU-MGVDo,360,640,vertical
EaPSA-TgGEk,400,226,horizontal
cntyo-grKgM,360,360,square
kXTJj-lp1M8,640,360,horizontal
ANjjS-pNQ9c,202,360,vertical
wCnCO-Dqn0o,360,640,vertical
TGxDM-1OsM8,640,360,horizontal
atKWP-tiHlI,360,640,vertical
eJgKa-UpTwg,640,360,horizontal
ibHao-dOQuA,360,640,vertical
vndYD-6ZvJY,640,352,horizontal
FqlFl-DGfO0,640,360,horizontal
uLefp-edDVs,360,360,square
OalFP-5LZE0,640,360,horizontal
BPGzZ-l-PFU,360,640,vertical
PugXH-kSG9g,640,360,horizontal
rvpsG-qXvA4,640,360,horizontal
zSnlh-qm4a8,640,360,horizontal
qfxTA-yjBYo,200,360,vertical
qEdKQ-2rcFQ,360,640,vertical
eArio-xuTvQ,640,360,horizontal
hhkyC-bDrG0,336,360,vertical
dcqUr-e5koc,360,640,vertical
hNYwY-h7qPs,360,446,vertical
RWrHi-e8llU,360,640,vertical
agILi-3qKOY,270,480,vertical
nPgtb-R2wEQ,640,360,horizontal
sTraA-2n5d4,626,360,horizontal
xiVHM-GBFnA,202,360,vertical
goZSA-X5mnA,640,360,horizontal
kevfl-l5f3Y,198,360,vertical
wHYIF-Mbpew,360,640,vertical
LMQch-x3VM8,640,360,horizontal
QaExP-fA9mw,270,480,vertical
juUbw-LBPM8,360,640,vertical
gLQfB-HDaxo,202,360,vertical
sDbzR-NYbW0,360,640,vertical
NXxpW-BKuFI,640,360,horizontal
GvwnC-goLgY,202,360,vertical
ruLwv-VwFCI,640,360,horizontal
MAOgA-j1C10,202,360,vertical
aFEVN-PtRNs,640,360,horizontal
PDkxn-tLMYQ,202,360,vertical
dbvCD-hIfB8,360,640,vertical
EimpB-O73yQ,202,360,vertical
FFdNr-MSYeY,360,640,vertical
fPsCy-9jiw8,202,360,vertical
ZTbXH-gcnyw,360,640,vertical
lBDRd-p2p6s,360,640,vertical
RhvAH-csaSI,360,640,vertical
ZEMSW-7UEfY,358,640,vertical
aPnZu-VCSdw,204,360,vertical
UwemV-ls4lQ,640,360,horizontal
arPvN-ZNgpk,640,360,horizontal
LoPqp-VOfsA,640,360,horizontal
SWPRX-vQYl0,640,360,horizontal
zIGTU-w7gME,204,360,vertical
vZdHZ-N8oZs,360,640,vertical
OYSlh-lVydI,360,360,square
PAxbX-RDpn4,640,360,horizontal
egAsR-yUQA8,360,640,vertical
nmJrV-Hhnyg,640,360,horizontal
Oiqbt--2O2E,640,360,horizontal
Dztzs-LUy6s,360,640,vertical
Zkqes-JwcOg,640,360,horizontal
xXnmS-uWzhM,426,240,horizontal
UBxKT-rifSw,360,640,vertical
fLrWH-jB4EM,640,360,horizontal
wSHOV-hcIls,288,360,vertical
NvyBs-1Z6bo,640,360,horizontal
zLeHO-LPoOA,640,360,horizontal
jkGoZ-9Ktp4,360,640,vertical
inqwM-Cu1Ic,360,640,vertical
BXoEZ-kQiS8,360,360,square
RlIJL-oR85w,360,640,vertical
RXbbN-CcYVo,360,640,vertical
HcFig-no92A,360,452,vertical
Izjiw-MIWO0,640,296,horizontal
HutFb-SuT5k,640,360,horizontal
