Video URL,Logo Detected,Detection Details
https://www.youtube.com/watch?v=iZsVY-Hjcd0,True,"[('First', ('tiktok19', 'Combined', 66.65123105049133)), ('Middle', ('tiktok19', 'Combined', 62.85322308540344)), ('Last', ('tiktok19', 'Combined', 65.66783785820007))]"
https://www.youtube.com/watch?v=KcDPo-IPj8o,True,"[('First', ('tiktok19', 'Combined', 64.77195620536804)), ('Middle', ('tiktok19', 'Combined', 62.840914726257324)), ('Last', ('likee1', 'Combined', 68.7412977218628))]"
https://www.youtube.com/watch?v=LgXay-nOk_0,True,"[('First', ('likee1', 'Combined', 76.31481289863586)), ('Middle', ('likee10', 'Combined', 60.3972852230072)), ('Last', ('tiktok7', 'Combined', 61.71411871910095))]"
https://www.youtube.com/watch?v=lYHAm-hPorQ,True,"[('First', ('likee1', 'Combined', 63.940638303756714)), ('Middle', ('tiktok19', 'Combined', 61.102861166000366)), ('Last', ('tiktok', 'Combined', 100.0))]"
https://www.youtube.com/watch?v=OFlka-CEW9Y,True,"[('First', ('tiktok', 'Combined', 100.0)), ('Middle', ('likee11', 'Combined', 63.88850808143616)), ('Last', ('likee11', 'Combined', 64.22849297523499))]"
https://www.youtube.com/watch?v=tkLLP-lalzk,True,"[('First', ('likee1', 'Combined', 66.73828959465027)), ('Middle', ('tiktok19', 'Combined', 63.75030875205994)), ('Last', ('tiktok19', 'Combined', 62.07589507102966))]"
https://www.youtube.com/watch?v=ttiVD--yZrI,False,"[('First', ('tiktok7', 'Combined', 61.31739020347595)), ('Middle', ('tiktok19', 'Combined', 61.84688210487366)), ('Last', ('tiktok19', 'Combined', 67.48027205467224))]"
https://www.youtube.com/watch?v=wFsFa-ReU4c,True,"[('First', ('tiktok19', 'Combined', 61.173075437545776)), ('Middle', ('tiktok19', 'Combined', 63.7131929397583)), ('Last', ('likee1', 'Combined', 60.45805811882019))]"
https://www.youtube.com/watch?v=wObVM-f5n1g,True,"[('First', ('tiktok19', 'Combined', 63.54603171348572)), ('Middle', ('tiktok19', 'Combined', 64.10149335861206)), ('Last', ('tiktok19', 'Combined', 65.10393619537354))]"
https://www.youtube.com/watch?v=YMnjF-2Kgoo,True,"[('First', ('likee10', 'Combined', 63.20812106132507)), ('Middle', ('tiktok19', 'Combined', 61.97139620780945)), ('Last', ('tiktok19', 'Combined', 60.594767332077026))]"
https://www.youtube.com/watch?v=yvwkN-dWuFQ,True,"[('First', ('tiktok19', 'Combined', 66.21099710464478)), ('Middle', ('likee10', 'Combined', 64.67178463935852)), ('Last', ('tiktok19', 'Combined', 60.25305986404419))]"
https://www.youtube.com/watch?v=zQOaC-ZvFeY,True,"[('First', ('likee1', 'Combined', 71.9041645526886)), ('Middle', ('tiktok19', 'Combined', 60.763245820999146)), ('Last', ('likee1', 'Combined', 74.4691014289856))]"
https://www.youtube.com/watch?v=RPGaV-XnQT4,True,"[('First', ('tiktok19', 'Combined', 64.89614248275757)), ('Middle', ('tiktok19', 'Combined', 62.31173276901245)), ('Last', ('tiktok19', 'Combined', 61.44320368766785))]"
https://www.youtube.com/watch?v=KDeiC-fT5HM,True,"[('First', ('tiktok19', 'Combined', 63.2138729095459)), ('Middle', ('tiktok19', 'Combined', 62.809568643569946)), ('Last', ('tiktok19', 'Combined', 64.15219902992249))]"
https://www.youtube.com/watch?v=XslYM-i3xBU,True,"[('First', ('likee1', 'Combined', 73.8503098487854)), ('Middle', ('likee1', 'Combined', 70.87242007255554)), ('Last', ('likee1', 'Combined', 62.36518621444702))]"
https://www.youtube.com/watch?v=Fqhlv-tivTo,False,"[('First', ('tiktok19', 'Combined', 64.06862735748291)), ('Middle', ('tiktok19', 'Combined', 61.949706077575684)), ('Last', ('tiktok19', 'Combined', 65.35077095031738))]"
https://www.youtube.com/watch?v=qIQgm-a-bPY,True,"[('First', ('likee1', 'Combined', 68.53325963020325)), ('Middle', ('tiktok19', 'Combined', 62.34297156333923)), ('Last', ('tiktok1', 'Combined', 60.023730993270874))]"
https://www.youtube.com/watch?v=sOwGt-4nO-0,True,"[('First', ('likee1', 'Combined', 60.17196774482727)), ('Middle', ('likee10', 'Combined', 61.54707074165344)), ('Last', ('tiktok19', 'Combined', 63.22492957115173))]"
https://www.youtube.com/watch?v=FQfZU-UkGYc,True,"[('First', ('tiktok', 'Combined', 100.0)), ('Middle', ('tiktok19', 'Combined', 67.13678240776062)), ('Last', ('tiktok', 'Combined', 100.0))]"
