Video URL,Logo Detected,Detection Details
https://www.youtube.com/watch?v=wFsFa-ReU4c,False,"[('First', ('likee13', 'ORB', 77.77777777777779)), ('Middle', ('likee4', 'ORB', 74.60317460317461)), ('Last', ('likee4', 'ORB', 69.84126984126983))]"
https://www.youtube.com/watch?v=wObVM-f5n1g,True,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('tiktok1', 'ORB', 90.0)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=YMnjF-2Kgoo,False,"[('First', ('likee9', 'Template', 73.20483922958374)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee13', 'ORB', 59.25925925925925))]"
https://www.youtube.com/watch?v=yvwkN-dWuFQ,True,"[('First', ('tiktok1', 'ORB', 90.0)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('tiktok1', 'ORB', 60.0))]"
https://www.youtube.com/watch?v=zQOaC-ZvFeY,True,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('tiktok1', 'ORB', 70.0))]"
https://www.youtube.com/watch?v=RPGaV-XnQT4,False,"[('First', ('likee4', 'ORB', 71.42857142857143)), ('Middle', ('likee13', 'ORB', 77.77777777777779)), ('Last', ('tiktok1', 'ORB', 70.0))]"
https://www.youtube.com/watch?v=KDeiC-fT5HM,False,"[('First', ('tiktok1', 'ORB', 60.0)), ('Middle', ('likee13', 'ORB', 62.96296296296296)), ('Last', ('tiktok1', 'ORB', 60.0))]"
https://www.youtube.com/watch?v=XslYM-i3xBU,False,"[('First', ('likee13', 'ORB', 74.07407407407408)), ('Middle', ('likee4', 'ORB', 73.01587301587301)), ('Last', ('likee13', 'ORB', 70.37037037037037))]"
https://www.youtube.com/watch?v=Fqhlv-tivTo,False,"[('First', ('tiktok1', 'ORB', 70.0)), ('Middle', ('likee4', 'ORB', 85.71428571428571)), ('Last', ('likee4', 'ORB', 79.36507936507937))]"
https://www.youtube.com/watch?v=qIQgm-a-bPY,True,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('tiktok1', 'ORB', 60.0))]"
https://www.youtube.com/watch?v=FQfZU-UkGYc,False,"[('First', ('likee13', 'ORB', 70.37037037037037)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee13', 'ORB', 62.96296296296296))]"
https://www.youtube.com/watch?v=ThDgv-RA_Lw,False,"[('First', ('tiktok1', 'ORB', 90.0)), ('Middle', ('likee4', 'ORB', 77.77777777777779)), ('Last', ('likee4', 'ORB', 80.95238095238095))]"
https://www.youtube.com/watch?v=iPLiL-OzDJQ,True,"[('First', ('tiktok1', 'ORB', 80.0)), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('tiktok1', 'ORB', 70.0))]"
https://www.youtube.com/watch?v=lAoyU-jaYqw,False,"[('First', ('likee4', 'ORB', 76.19047619047619)), ('Middle', ('likee4', 'ORB', 79.36507936507937)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=TIUrc-84n-8,False,"[('First', None), ('Middle', ('tiktok1', 'ORB', 80.0)), ('Last', ('likee4', 'ORB', 73.01587301587301))]"
https://www.youtube.com/watch?v=FFqAu-dRqqY,False,"[('First', ('likee10', 'ORB', 63.63636363636363)), ('Middle', ('tiktok1', 'ORB', 70.0)), ('Last', ('tiktok1', 'ORB', 80.0))]"
https://www.youtube.com/watch?v=WQlMj-Ry5ko,False,"[('First', ('likee10', 'ORB', 22.727272727272727)), ('Middle', ('tiktok11', 'ORB', 66.66666666666666)), ('Last', ('tiktok1', 'ORB', 90.0))]"
